GP,StintLengthStd
Australian Grand Prix,19.909420487663358
Austrian Grand Prix,11.23054689948246
Azerbaijan Grand Prix,16.639157807292744
Bahrain Grand Prix,5.617113749400665
Belgian Grand Prix,5.663020854173609
British Grand Prix,7.9685892337553295
Canadian Grand Prix,12.35290526461777
Dutch Grand Prix,10.992004394522745
Hungarian Grand Prix,9.147208785822514
Italian Grand Prix,7.298816840606925
Japanese Grand Prix,6.285947129361757
Las Vegas Grand Prix,7.35784238833157
Mexico City Grand Prix,8.854122216571708
Miami Grand Prix,13.948531767234087
Monaco Grand Prix,17.074435301119927
Qatar Grand Prix,4.488552645489434
Saudi Arabian Grand Prix,11.817208042497251
Singapore Grand Prix,10.168894877730322
Spanish Grand Prix,7.571404418900894
São Paulo Grand Prix,8.388778137455763
United States Grand Prix,6.07397578347015
